,text,label
0,i cant wait to have real supports on my team until then i try to do my best with silent whisper,1
1,thats actually a really great idea,1
2,congratulations wen s20 wen v3 wen land,1
3,congrats another great addition to the team,1
4,thanks for sharing your story youre an inspiration congrats on your new role,1
5,thanks for sharing your story rats thats huge,1
6,sweet rose pastillas for newly weds congratulations,1
7,congrats you decerve this oportunity bro lt3,1
8,thank you so much sir we appreciate your work,1
9,you are an inspiration congratulations,1
10,very exciting no more random crits i wob 10 games in arena equals to 30 slp to the moon,1
11,congrats on getting into a great innovative team like,1
12,congratulation boss lima more more power to you guys,1
13,god bless you man you are very good person,1
14,congratulations you are an inspiration,1
15,hype pegaxy moreeee go go gooooo,1
16,so excited to see them all,1
17,haha loved your reaction to the game artwork nn it really does look so good nt update vid,1
18,i like the word infinity,1
19,recently came across the first purley metaverse gaming launchpad unix gaming is bringing this to market and it has something to do with their token you invest more you get more backne know about it,1
20,fellow trainers read the substack its all in there slp wont lose value it will only gain and might even stabilize,1
21,we are just praying for slp,1
22,weve got huge news n february is on fire globe set its highest 24hour trading volume evern n wait till you see our buy n burn numbers ncrypto exchange trade gdt btc globeexchange,1
23,sold out under 3 minutes this is genesis dont miss out this epic proportional event be part of history imperiumempiresn,1
24,buyback next please i think no one will breed now because of the 6 parts part no one will burn slp until v3 well have 50b slp supply by then or the breeders might breed pure axiesbut yeah nice im so excited for what comes next,1
25,i hope the axie tutorial will be as interactive like this i can now teach my friends and my mother how to play axie haha n,1
26,slp is going to moon,1
27,keep up the good work people you are the best,1
28,it itbut if you didnt get rich or something it doesnt mean its a scam,1
29,agree ive never intended to fud them please trust on your investment,1
30,do you know why axie still exists and being developed many years cause its the king,1
31,if you are a manager you should not hire scholar that kind of people we are here playing at the same time earning in a small always remind them that axie earning is just an extra blessing ok,1
32,the dawn of a new era,1
33,i want to play this version now keep it up axie infinity team,1
34,shocks the world in 2022,1
35,did you read the axies motive to the gamenyes gamers economical freedom is one their motive so that they can fully involve in game and the earning process becomes fun in terms of games thats it,1
36,no axie had the last high because of these people who want to become rich fast axie are going to maintain relevant for years because of fun to play the game has a structure but the people do the price,1
37,axie sabong international every entry to wala have 10 and meron have 10 burn slp to the moon,1
38,make adventure fun that would be good,1
39,ill start collecting axies soon,1
40,it means my axies wont have the same value they had some day so i lost the investments i made by buying axies from having a really good axie that cost me 05 i have an axie that cost now 01 eth or maybe invaluables,1
41,am really grateful to atlatcodez on i g for helping me recover my hacked axies,1
42,if alpha v3 is successful game rewards will be included there v2 will shutdown but you can use your current axies from v2 transitioning to v3,1
43,at paxful selling or buying slpaxs is easy n,1
44,fight fight fight fight fight fight,1
45,start of a new era,1
46,did you read that i mention that i like the axie also let me remind you that 7080 of the player are scholars they play because of money and not for fun remember axie is alive because of this players and this should be valued too,1
47,im married but this year i found my valentine here,1
48,some of yall lie about deaths to get money competitive is just getting better at the game or not,1
49,a bright future ahead for the axieverse,1
50,a dofuswakkfu like plz nslp too the moon,1
51,burn slp to join the pump,1
52,origins will shock the world,1
53,so cute its realy like pokemon adventure,1
54,the new gaming era had arrived,1
55,looks beautiful we need gameplay,1
56,i want i want i want i want i want now,1
57,dont miss out on dragonevo ranked 18th in all newly added games its going to the moon n,1
58,it has to be snail shell whoever it is who created this idea or thinks that hes smart for thinking the concept of it should get hishear soul reap for eternity then the axie world will be at peace,1
59,the one with less hp goes first learn the game you play man before complaining,1
60,this is great love this,1
61,so cute axie plush stuffed toyspe,1
62,wow nice to know at least the community without scholar has the chance to play and im of that who has the chance to play,1
63,i like this card this summons a bird pet haha,1
64,you need to do a game like dofus this game has a great economy i want to play nft dofus,1
65,we are to first to earn slp 2nd is the enjoyment for the game only,1
66,still disagree i find it a good thing i dont see it as bad at all as they cant earn so it doesnt affect t us much other than bringing more people to the ecosystem games and drugs arent the same but it doesnt take alot to understand its the same tatic,1
67,all your rewards and funds in v2 can transfer in v3 so dont worry,1
68,we work together to get our community to over a million followers i need to focus on the main points to be successful we need to swim against the current,1
69,i also excited axie to the moon,1
70,yoooo this is fcking awesome news,1
71,many dont want to start cause theyre afraid to invest in a bad team free axies will let many more people try the game to decide what they want before handi think thats a good change,1
72,they could have initially release a 100k or even 1m moonshard today getting it by using 100 slp 1 moonshard would be a good burning mech,1
73,is the besti hope i can be part of itbecause to play axie is one of my dream axie is the best,1
74,when they will release this month or next month so excited,1
75,breaking token is up 100 last week,1
76,so excited for v3 but can v2 still run parallel theyre 2 different card games and each has its own charm beside v2 still run will give axie more use cause one strong in v2 may weak in v3 if v2 get cancel player invest now would loss a lot,1
77,i think itll be more strategic this time,1
78,read the update and everything will be fine,1
79,axie dominates nft gaming leader in innovation and number 1 trust loyalty and patience pays off soar high so excited for v3,1
80,i cant wait to play it,1
81,amazing post bro love it make sure to also check out well its looking to be the first big fitness brand on the bsc and hasr fitness comps lotteries busd prizes haha and tons more fullyd team too and still so early nfa gainz floki flokigainz,1
82,great for axie imagine ale those lol players starting to play axie,1
83,sure genius v keep your faith in slp at 1 i keep my faith better in axs good luck,1
84,iotex is growing more and more every day the future of iotex is really greatn iotx nndot etherium bitcoin polygon polkadot celr kriptofuture gala shib doge metaverse mana etc eth btt ada cardano blz airdrop iotx,1
85,well theres still earning but its not the same as before but still be thankful on what the game can provide this situation is not permanent so we all meet at the top soon,1
86,lets continue to shock the worldn,1
87,yes it will help new players discover the game and thus invite them to buy nft axies to play the real thing this creates a demand of axies thus a demand in breeding thus an increase of both the axie price and of slp burning more burning means slp,1
88,thankyou because of you the progress of this games change but still thanks to every developer of the game,1
89,geeez i am so excited,1
90,thats exactly the update we want bravo axs slp is just starting to go to the mooooonnnn,1
91,super exited about this lets go,1
92,ohhh yes finally news images,1
93,more burning mechanism will pop out lezgoo to the moon,1
94,this is beyond any expectations another reason to double down on,1
95,this looks really exciting i cant wait to play origin,1
96,so close cant wait to play this game,1
97,go go goooo im readyyyyy,1
98,now this is high quality omfg,1
99,just got more envious by the fact that youve been playing with v3 almost everyday cant wait,1
100,im looking forward to origin its going to be great,1
101,yfnft is on i hope youve packed your bags for the trip,1
102,yeayeahhh just read it and really love it,1
103,devs efforts and hard work is valued and very much appreciatednlets gowww,1
104,im starting to get bullish after this update and slp going up im just a little worried about axs,1
105,go go go need dump slp price,1
106,looking forward to an axie mining game,1
107,no need for extra energy expect that 30 to 40 slp per day reward for now lets make great again breed and burn that will make slp great again,1
108,best game of the yearlfg,1
109,im tired of random crits lt good to see that they are going away,1
110,cant wait for this the designs and new way of strategies to play axie beautiful and exciting great work axie team,1
111,im so excited about this to the moon,1
112,excited for random crits to be a relic of the past,1
113,the dawn of a new age is almost here glad to stick around and believe in this project the future is bright,1
114,the art and all amazing,1
115,hurry up guys presale is live join now yearnnft,1
116,yes no more random crtical in the origin,1
117,read the update its freakin awesome clearly they listened to the players,1
118,i really love axie infinity fcking art style,1
119,slp mean smooth love potion expect the big day on valentines day,1
120,sheesh now i am getting hyped,1
121,never played axie but i cant wait for this,1
122,lets go in jihoz we trust,1
123,lfggggg so much to to see,1
124,the community needs this so badly thank you very much for this and your hard work lt3 lt3 lt3,1
125,bye random crits no one will miss you,1
126,slp may going high up again like yesterday amp will hit untill 45 60 the formed chart in time frame 4 hours 1 hours is good amp strong just keep calm cryptonews slpusdt defi nftcommmunity,1
127,happiest birthday keep safe healthy and live longer for your loved ones too,1
128,the whales are coming 4sure,1
129,goodluck we are patiently waiting for this,1
130,happy birthday dadi jihoz god bless,1
131,lfg cant wait for this,1
132,guys wonkey donkey is set to be the next big nft ect insane marketing budget prizes and utilityndont miss it nwonkeynft nftcollectionnnft y7 donkey n,1
133,metahive what real 3d gaming can be welcome to the metaverse of the future,1
134,good day manager still hoping,1
135,but atleast u can still earn slp even below 800 mmr dummy,1
136,our guild is looking for investorsnn this is the best time to invest in axie infinity until slp will go n invest for as low as php 5000 n us a message to know more ngeminiaxieguild axie axieinfinity axieinfinityscholarship investors crypto,1
137,cant wait for origin sir,1
138,never i believe it has gone extinct hahaha,1
139,awesome job guys axie is going higher amp higher,1
140,the future is bright i can see it now axiebuilders,1
141,why its so fun to play pve,1
142,adventure was the only way for us to get slp and now that is removed we wont earn anything for we are below 800 get nothing from arena wins nnwe did not think it could suck more guess we was wrong this is total bull,1
143,well theres always a silver lining,1
144,i also invested 1000 for a team but ye all i can do is wait for it to rise again thats why im still thankful even if its small or huge amount of money always remember slow progress is still a progress,1
145,oh wait you were the guy complaining early my badnnbut yeah we are expecting the game to recover and earn but this is a big hit for people with bad axies the only choice is to get new teams but to get new teams u need money,1
146,thank you very much for your decision which made us triple the slp we bought in the market,1
147,ok we are ready nnour teams are ready nlars are ready,1
148,as for me who cant afford nicer axie adventure is my only source of income to this game have fun on the new season,1
149,removing slp in adventure will now help slp to get to the moonits a big mistakes especially to those have budget meal axie only and those scholars who have earned only 75slp because of manipulated matching in arena,1
150,thx for the leeks brother so bullish,1
151,if you did not know the meaning of fun here i searched it up for you,1
152,can we get rewards if we win 5 games a day or a weekly win target or monthly target,1
153,its ways of returning back our money even though we gain less the price but still good and worth to try,1
154,finally able to get slp in ruins 21200slp and 36300slp before the uodate,1
155,hey goodjob on the update can u add like practice mode cause in the adven u didnt really get the chace to actually practice so playing against bot with some difficulty cattegories would be actually really cool,1
156,buy slp now i will pump slp from now on,1
157,he shills well it must be said,1
158,this is gonna be awesome,1
159,im a yes man to this,1
160,lol slp 2 the moon 1,1
161,hahaha do you know what youre talking about part time job while working are you out of your mind hahaha i enjoy earning not playing games but since i can earn while playing then why not,1
162,lol make it fun then,1
163,luckily i already passed the 21st and 36th,1
164,i love it now we havent play boredom adventure now we just have to play funny pvp d long live the axie,1
165,hurt you i dont care if anyone really does well or badly keep on nun writing that slp is going to 1 and keep on being happy ahahaha,1
166,prizes at certain levels will be interesting that way a new roadmap will open,1
167,take look at much more promising than axie and a great new start opportunity,1
168,this is why the nomenclature is changing to play and earn this game can be fun challenging and engaging it is just an added benefit that you can earn as well,1
169,hi friends we really rely on you i hope you can help axie infinity reach the moon,1
170,moon vault an exciting new multichain yield aggregatornbrewlabs audit amp rugdoc kycnintuitive ui and transparency in communitynvaults with only 45 profit feenchains bsc polygon fantom harmony cronosnvault examples banana apy 26308 ntelegram,1
171,i think that the idea of give each axie an amount of energy is a good idea that will encourage to many player to buy new axies and get extra energy,1
172,up up up slp boss,1
173,harvest moon type game within axie world hahahah i like those kind of games,1
174,nim kirver gonzalez i want to propose some ideas to you so axie can rise again like a new cointoken realy useful for the new minigames and adventure mode and it will give a real utility to the slp creating a burning method too and clear bots,1
175,id probably expand my assets by buying more axies land etc,1
176,i making money while waiting when i told people slp will go to 3 cents 1 week ago people said same thing you did we dont even have land builders program and bv3 yet keep your doge i will keep my axies,1
177,so ur dream when u join axie its about to get slp at 00000001 centnif u are a loyal player u understand why they do that and stay in the ship i think u need to play play to earn and no play and earn like axie its not sarcarstic its a real advice,1
178,aventure for fun haha nice try dude,1
179,so make it fun guys wake up,1
180,i can pay back with slp id greatly appreciate that,1
181,i am having a blast adventuring with slp,1
182,,1
183,hoping to add more utils for adventure in the future perhaps a rare drop after clearing a certain level that will contribute to origins body part upgrade,1
184,pegaxy will add new mini games like axie we are so excited about it pegaxy will rise to the top lucywehavepegaxy,1
185,such fun axie adventure better than gta5,1
186,we already play arena for fun with slp at 002,1
187,i am so inlove with their demo game is really cool for me i see another coming through,1
188,dude youre incredibly right i just recently found out about this project too but im already anticipating its growth did you know they have an ido coming up,1
189,this should definitely have been left as a reward,1
190,i like the gaming experience is topnotch recently ive noticed that is cooking up big things and is worth paying close attention to their game demo is just it,1
191,now please do the balancing energy thing i got alot of playable axies but i dont use them cause its better use my main team we need to incentivate the use of more axies happy with the changes if slp is keep going up,1
192,may the odds be in my favor,1
193,i think its going to be something cool i liked the style and the idea be sure to try it,1
194,to share my enthusiasm with art lovers,1
195,not yet but i already check this project it s look cool and so hot,1
196,heard about the game lounge looks interesting have you tried the beta,1
197,when the slp value increases above 007 players are still willing to choose to invest in games to earn slp for pvp and take risks with the community this is very constructive,1
198,axie still better i dont want gas fee from metasht,1
199,for fun of course aventure is very fun,1
200,omagad bro i already interested this game u said it was game lounge,1
201,it kinda game lounge i just check them and can talk that it seems really cool,1
202,game of blocks soon to the moon,1
203,it fun if they added an ai meta teams to trained with,1
204,for fun ahaahah to earn to play and you might earn,1
205,next update you will play arena for fun to reduce the minting,1
206,great update keep up the good work people who are angry because they cannot earn due to fact of not improving in the game this is the right direction if slp is 10 20 cents again and you make 50 slp per day that is 510 dollars per day time will show axie comeback stronger,1
207,yes i will ia realy fun,1
208,it makes total sense and everyone is happy because slp needed some tough love,1
209,still hoping and waiting sir,1
210,adventure is so fun said no one ever,1
211,lucky i just finish r 36300 slpbefore updte,1
212,best tweet ever for fun,1
213,thats why i work while playing axie for money,1
214,this is the way use adventure to learn the game then jump into the arena well done axie,1
215,i hope slp pump in 6pesos just for one day,1
216,fun i hated adventure from the start good riddance,1
217,buy my own axies but with mystic beautiful parts,1
218,i am agreed if you all want slp and make money please do a little effort,1
219,the burning mechanism is breeding new axies,1
220,looks more and more interesting me rather axie like to tame sweetest dragons now,1
221,prices arent stable yet chill dude,1
222,i can play axie everyday,1
223,i will buy axies and get as many as scholars i can getso i could help a lot people and help them earn so they could help families and friends as well,1
224,give me some meta axies and i will win the 1st place,1
225,i would buy land in axie,1
226,gonna build an axie infinity rip off so that i can make people enjoy a game and earn on it,1
227,daddy please join us here in axie,1
228,even with the previous price of slp060phple were still earning more then than nowlpassuming 50 win at 6slp per win x 6081nvsp x 15075nand even if they did badly in the arena theyll at least get 75slp guaranteed now its just ni might earn if i play,1
229,i guess so how to tell you relatively its the same for everyone but you cannot expect high return from minimal investment take your time to invest well sell your team and buy slp,1
230,stake it to win 05 axs a day aprox what itd let me breed you time a day,1
231,please have me buy them i want to have a happy lunar new year with my mom,1
232,better than sand that has 3 billion supply and only 1 billion in circulation,1
233,and buy more axies hopefully a mystic one too,1
234,i will buy u all,1
235,hope slp in 010 at least,1
236,i sell half of it so i can finally work abroad then the other half im reinvesting in axie teams slp staking etc,1
237,may pang so clean so good hahahahaha,1
238,i will buy a land farm ron buy more axies and then i wake up,1
239,i would give my mom a starting budget to start a small business i just want my mom to be happy and live a life she dream of,1
240,id buy for 202 of my closest friends 3,1
241,ill become a full fledge axie warrior,1
