text,label
i cant wait to have real supports on my team until then i try to do my best with silent whisper,1
thats actually a really great idea,1
congratulations wen s20 wen v3 wen land,1
congrats another great addition to the team,1
thanks for sharing your story youre an inspiration congrats on your new role,1
thanks for sharing your story rats thats huge,1
sweet rose pastillas for newly weds congratulations,1
congrats you decerve this oportunity bro lt3,1
thank you so much sir we appreciate your work,1
you are an inspiration congratulations,1
very exciting no more random crits i wob 10 games in arena equals to 30 slp to the moon,1
congrats on getting into a great innovative team like,1
congratulation boss lima more more power to you guys,1
god bless you man you are very good person,1
congratulations you are an inspiration,1
hype pegaxy moreeee go go gooooo,1
so excited to see them all,1
haha loved your reaction to the game artwork nn it really does look so good nt update vid,1
i like the word infinity,1
recently came across the first purley metaverse gaming launchpad unix gaming is bringing this to market and it has something to do with their token you invest more you get more backne know about it,1
fellow trainers read the substack its all in there slp wont lose value it will only gain and might even stabilize,1
we are just praying for slp,1
weve got huge news n february is on fire globe set its highest 24hour trading volume evern n wait till you see our buy n burn numbers ncrypto exchange trade gdt btc globeexchange,1
sold out under 3 minutes this is genesis dont miss out this epic proportional event be part of history imperiumempiresn,1
buyback next please i think no one will breed now because of the 6 parts part no one will burn slp until v3 well have 50b slp supply by then or the breeders might breed pure axiesbut yeah nice im so excited for what comes next,1
i hope the axie tutorial will be as interactive like this i can now teach my friends and my mother how to play axie haha n,1
slp is going to moon,1
keep up the good work people you are the best,1
it itbut if you didnt get rich or something it doesnt mean its a scam,1
agree ive never intended to fud them please trust on your investment,1
do you know why axie still exists and being developed many years cause its the king,1
if you are a manager you should not hire scholar that kind of people we are here playing at the same time earning in a small always remind them that axie earning is just an extra blessing ok,1
the dawn of a new era,1
i want to play this version now keep it up axie infinity team,1
shocks the world in 2022,1
did you read the axies motive to the gamenyes gamers economical freedom is one their motive so that they can fully involve in game and the earning process becomes fun in terms of games thats it,1
no axie had the last high because of these people who want to become rich fast axie are going to maintain relevant for years because of fun to play the game has a structure but the people do the price,1
axie sabong international every entry to wala have 10 and meron have 10 burn slp to the moon,1
make adventure fun that would be good,1
ill start collecting axies soon,1
it means my axies wont have the same value they had some day so i lost the investments i made by buying axies from having a really good axie that cost me 05 i have an axie that cost now 01 eth or maybe invaluables,1
am really grateful to atlatcodez on i g for helping me recover my hacked axies,1
if alpha v3 is successful game rewards will be included there v2 will shutdown but you can use your current axies from v2 transitioning to v3,1
at paxful selling or buying slpaxs is easy n,1
fight fight fight fight fight fight,1
start of a new era,1
did you read that i mention that i like the axie also let me remind you that 7080 of the player are scholars they play because of money and not for fun remember axie is alive because of this players and this should be valued too,1
im married but this year i found my valentine here,1
some of yall lie about deaths to get money competitive is just getting better at the game or not,1
a bright future ahead for the axieverse,1
a dofuswakkfu like plz nslp too the moon,1
burn slp to join the pump,1
origins will shock the world,1
so cute its realy like pokemon adventure,1
the new gaming era had arrived,1
looks beautiful we need gameplay,1
i want i want i want i want i want now,1
dont miss out on dragonevo ranked 18th in all newly added games its going to the moon n,1
it has to be snail shell whoever it is who created this idea or thinks that hes smart for thinking the concept of it should get hishear soul reap for eternity then the axie world will be at peace,1
the one with less hp goes first learn the game you play man before complaining,1
this is great love this,1
so cute axie plush stuffed toyspe,1
wow nice to know at least the community without scholar has the chance to play and im of that who has the chance to play,1
i like this card this summons a bird pet haha,1
you need to do a game like dofus this game has a great economy i want to play nft dofus,1
we are to first to earn slp 2nd is the enjoyment for the game only,1
still disagree i find it a good thing i dont see it as bad at all as they cant earn so it doesnt affect t us much other than bringing more people to the ecosystem games and drugs arent the same but it doesnt take alot to understand its the same tatic,1
all your rewards and funds in v2 can transfer in v3 so dont worry,1
we work together to get our community to over a million followers i need to focus on the main points to be successful we need to swim against the current,1
i also excited axie to the moon,1
yoooo this is fcking awesome news,1
many dont want to start cause theyre afraid to invest in a bad team free axies will let many more people try the game to decide what they want before handi think thats a good change,1
they could have initially release a 100k or even 1m moonshard today getting it by using 100 slp 1 moonshard would be a good burning mech,1
is the besti hope i can be part of itbecause to play axie is one of my dream axie is the best,1
when they will release this month or next month so excited,1
breaking token is up 100 last week,1
so excited for v3 but can v2 still run parallel theyre 2 different card games and each has its own charm beside v2 still run will give axie more use cause one strong in v2 may weak in v3 if v2 get cancel player invest now would loss a lot,1
i think itll be more strategic this time,1
read the update and everything will be fine,1
axie dominates nft gaming leader in innovation and number 1 trust loyalty and patience pays off soar high so excited for v3,1
i cant wait to play it,1
amazing post bro love it make sure to also check out well its looking to be the first big fitness brand on the bsc and hasr fitness comps lotteries busd prizes haha and tons more fullyd team too and still so early nfa gainz floki flokigainz,1
great for axie imagine ale those lol players starting to play axie,1
sure genius v keep your faith in slp at 1 i keep my faith better in axs good luck,1
iotex is growing more and more every day the future of iotex is really greatn iotx nndot etherium bitcoin polygon polkadot celr kriptofuture gala shib doge metaverse mana etc eth btt ada cardano blz airdrop iotx,1
well theres still earning but its not the same as before but still be thankful on what the game can provide this situation is not permanent so we all meet at the top soon,1
lets continue to shock the worldn,1
yes it will help new players discover the game and thus invite them to buy nft axies to play the real thing this creates a demand of axies thus a demand in breeding thus an increase of both the axie price and of slp burning more burning means slp,1
thankyou because of you the progress of this games change but still thanks to every developer of the game,1
geeez i am so excited,1
thats exactly the update we want bravo axs slp is just starting to go to the mooooonnnn,1
super exited about this lets go,1
ohhh yes finally news images,1
more burning mechanism will pop out lezgoo to the moon,1
this is beyond any expectations another reason to double down on,1
this looks really exciting i cant wait to play origin,1
so close cant wait to play this game,1
go go goooo im readyyyyy,1
now this is high quality omfg,1
just got more envious by the fact that youve been playing with v3 almost everyday cant wait,1
im looking forward to origin its going to be great,1
yfnft is on i hope youve packed your bags for the trip,1
yeayeahhh just read it and really love it,1
devs efforts and hard work is valued and very much appreciatednlets gowww,1
im starting to get bullish after this update and slp going up im just a little worried about axs,1
go go go need dump slp price,1
looking forward to an axie mining game,1
no need for extra energy expect that 30 to 40 slp per day reward for now lets make great again breed and burn that will make slp great again,1
best game of the yearlfg,1
im tired of random crits lt good to see that they are going away,1
cant wait for this the designs and new way of strategies to play axie beautiful and exciting great work axie team,1
im so excited about this to the moon,1
excited for random crits to be a relic of the past,1
the dawn of a new age is almost here glad to stick around and believe in this project the future is bright,1
the art and all amazing,1
hurry up guys presale is live join now yearnnft,1
yes no more random crtical in the origin,1
read the update its freakin awesome clearly they listened to the players,1
i really love axie infinity fcking art style,1
slp mean smooth love potion expect the big day on valentines day,1
sheesh now i am getting hyped,1
never played axie but i cant wait for this,1
lets go in jihoz we trust,1
lfggggg so much to to see,1
the community needs this so badly thank you very much for this and your hard work lt3 lt3 lt3,1
bye random crits no one will miss you,1
slp may going high up again like yesterday amp will hit untill 45 60 the formed chart in time frame 4 hours 1 hours is good amp strong just keep calm cryptonews slpusdt defi nftcommmunity,1
happiest birthday keep safe healthy and live longer for your loved ones too,1
the whales are coming 4sure,1
goodluck we are patiently waiting for this,1
happy birthday dadi jihoz god bless,1
lfg cant wait for this,1
guys wonkey donkey is set to be the next big nft ect insane marketing budget prizes and utilityndont miss it nwonkeynft nftcollectionnnft y7 donkey n,1
metahive what real 3d gaming can be welcome to the metaverse of the future,1
good day manager still hoping,1
but atleast u can still earn slp even below 800 mmr dummy,1
our guild is looking for investorsnn this is the best time to invest in axie infinity until slp will go n invest for as low as php 5000 n us a message to know more ngeminiaxieguild axie axieinfinity axieinfinityscholarship investors crypto,1
cant wait for origin sir,1
never i believe it has gone extinct hahaha,1
awesome job guys axie is going higher amp higher,1
the future is bright i can see it now axiebuilders,1
why its so fun to play pve,1
adventure was the only way for us to get slp and now that is removed we wont earn anything for we are below 800 get nothing from arena wins nnwe did not think it could suck more guess we was wrong this is total bull,1
well theres always a silver lining,1
i also invested 1000 for a team but ye all i can do is wait for it to rise again thats why im still thankful even if its small or huge amount of money always remember slow progress is still a progress,1
oh wait you were the guy complaining early my badnnbut yeah we are expecting the game to recover and earn but this is a big hit for people with bad axies the only choice is to get new teams but to get new teams u need money,1
thank you very much for your decision which made us triple the slp we bought in the market,1
ok we are ready nnour teams are ready nlars are ready,1
as for me who cant afford nicer axie adventure is my only source of income to this game have fun on the new season,1
removing slp in adventure will now help slp to get to the moonits a big mistakes especially to those have budget meal axie only and those scholars who have earned only 75slp because of manipulated matching in arena,1
thx for the leeks brother so bullish,1
if you did not know the meaning of fun here i searched it up for you,1
can we get rewards if we win 5 games a day or a weekly win target or monthly target,1
its ways of returning back our money even though we gain less the price but still good and worth to try,1
finally able to get slp in ruins 21200slp and 36300slp before the uodate,1
hey goodjob on the update can u add like practice mode cause in the adven u didnt really get the chace to actually practice so playing against bot with some difficulty cattegories would be actually really cool,1
buy slp now i will pump slp from now on,1
he shills well it must be said,1
this is gonna be awesome,1
im a yes man to this,1
lol slp 2 the moon 1,1
hahaha do you know what youre talking about part time job while working are you out of your mind hahaha i enjoy earning not playing games but since i can earn while playing then why not,1
